date,location,new_cases,new_deaths,total_cases,total_deaths,in_recovery
1/21/2020,World,0,0,282,6,276
1/22/2020,World,32,0,314,6,308
1/23/2020,World,266,11,581,17,564
1/24/2020,World,262,8,846,25,821
1/25/2020,World,467,16,1320,41,1279
1/26/2020,World,691,15,2014,56,1958
1/27/2020,World,783,24,2798,80,2718
1/28/2020,World,1792,26,4593,106,4487
1/29/2020,World,1468,26,6065,132,5933
1/30/2020,World,1750,38,7818,170,7648
1/31/2020,World,2006,43,9826,213,9613
2/1/2020,World,2121,46,11953,259,11694
2/2/2020,World,2604,45,14557,305,14252
2/3/2020,World,2834,57,17391,362,17029
2/4/2020,World,3239,64,20630,426,20204
2/5/2020,World,3913,66,24544,492,24052
2/6/2020,World,3712,73,28276,565,27711
2/7/2020,World,3205,73,31481,638,30843
2/8/2020,World,3405,86,34886,724,34162
2/9/2020,World,2672,89,37558,813,36745
2/10/2020,World,2996,97,40554,910,39644
2/11/2020,World,2549,108,43103,1018,42085
2/12/2020,World,2068,97,45171,1115,44056
2/13/2020,World,1826,254,46997,1369,45628
2/14/2020,World,2056,13,49053,1383,47670
2/15/2020,World,1526,143,50580,1526,49054
2/16/2020,World,1277,142,51857,1669,50188
2/17/2020,World,19572,106,71429,1775,69654
2/18/2020,World,1903,98,73332,1873,71459
2/19/2020,World,1872,136,75204,2009,73195
2/20/2020,World,542,115,75748,2129,73619
2/21/2020,World,1021,118,76769,2247,74522
2/22/2020,World,1023,112,77794,2359,75435
2/23/2020,World,1017,102,78811,2463,76348
2/24/2020,World,517,155,79331,2618,76713
2/25/2020,World,896,82,80239,2700,77539
2/26/2020,World,864,62,81109,2762,78347
2/27/2020,World,1175,42,82294,2804,79490
2/28/2020,World,1353,54,83652,2858,80794
2/29/2020,World,1748,66,85403,2924,82479
3/1/2020,World,1727,53,87137,2977,84160
3/2/2020,World,1801,64,88948,3043,85905
3/3/2020,World,1912,67,90869,3112,87757
3/4/2020,World,2217,86,93090,3198,89892
3/5/2020,World,2220,79,95324,3280,92044
3/6/2020,World,2864,99,98192,3380,94812
3/7/2020,World,3730,104,101927,3486,98441
3/8/2020,World,3644,96,105592,3584,102008
3/9/2020,World,3979,224,109577,3809,105768
3/10/2020,World,4119,201,113702,4012,109690
3/11/2020,World,4611,275,118319,4292,114027
3/12/2020,World,6936,317,125260,4613,120647
3/13/2020,World,7488,338,132758,4956,127802
3/14/2020,World,9761,433,142534,5392,137142
3/15/2020,World,10967,343,153517,5735,147782
3/16/2020,World,13971,855,167506,6606,160900
3/17/2020,World,11594,819,179112,7426,171686
